Fin.,Off.,All,First name,Last name,Country,Team,Total,R1,R2,R3,R4,R5,R6,R7,R10,R11,R12,King of M,Sprinter (unfinished column)
,,131,Valerio,Stancanelli,Italy,ITA-B,"1,326",139,84,241,92,105,124,66,160,315,0,271,176
,,132,Adam,Bissett,United Kingdom,GBR-B,"1,312",151,117,198,72,67,146,52,38,371,100,535,289
,75,133,Radoslav,Bochev,Bulgaria,BGR-A,"1,306",202,141,328,44,0,119,75,82,315,0,370,
,,134,Jerome,Lacoste,France,FRA-B,"1,291",137,83,295,92,21,94,93,164,312,0,296,175
,76,135,Christof,Bruetsch,Switzerland,CHE-A,"1,290",153,110,186,96,21,139,58,136,291,100,273,
,77,136,Roger,Kohler,Switzerland,CHE-A,"1,282",142,109,216,76,53,148,50,136,252,100,407,
,78,137,Emma,McCaughan,United Kingdom,GBR-A,"1,263",129,91,220,88,21,37,78,126,373,100,357,279
,79,138,Marko,Tanasic,Serbia,SRB-A,"1,250",120,176,168,60,57,144,44,102,279,100,189,
,80,140,Kertu,Luht,Estonia,EST-A,"1,238",109,168,245,48,0,130,41,112,285,100,352,
,,141,Ashish,Kumar,India,IND-C,"1,231",212,136,118,88,101,28,34,40,474,0,402,224
,,142,Gerda,Nador,Hungary,UN-01,"1,229",151,60,278,84,36,91,59,92,378,0,620,144
,,143,Allar,Padari,Estonia,EST-B,"1,226",153,81,135,72,35,168,70,126,286,100,670,253
,,144,Pavel,Kalhous,Czech Republic,UN-O5,"1,222",124,81,287,68,35,125,49,160,193,100,169,249
,,146,Taavi,Piller,Estonia,EST-B,"1,190",63,106,61,92,113,87,96,194,378,0,381,198
,81,147,Marko,Obradovic,Serbia,SRB-A,"1,176",177,83,135,24,115,146,38,102,256,100,77,207
,,148,Miroslav,Salaga,Slovakia,SVK-B,"1,155",147,83,126,88,71,124,25,160,331,0,86,171
,,149,Yuk Yee,Lee-Au,Netherlands,NLD-B,"1,114",137,141,157,72,53,53,76,170,255,0,110,
,,150,Yucheng,Tang,China,CHN-D,"1,112",159,140,90,104,35,54,68,126,336,0,191,244
,82,151,Angelika,Schobesberger,Austria,AUT-A,"1,112",123,106,207,52,57,54,68,160,285,0,179,158
,,152,Pierdante,Lanzavecchia,Italy,ITA-C,"1,101",96,43,267,80,88,117,61,112,237,0,395,123
,,153,Alexander,Angelov,Bulgaria,BGR-B,"1,063",102,49,120,124,184,37,31,68,348,0,178,173
,,154,Gyérgy,Herke,Hungary,HUN-B,"1,063",151,52,180,120,36,91,59,126,248,0,329,172
,,155,Petr,Vejchoda,Czech Republic,UN-O5,"1,052",93,73,207,56,84,37,51,136,215,100,98,229
,,156,Jean-Christophe,Novelli,France,FRA-B,"1,047",57,78,136,32,80,114,75,136,239,100,163,210
,83,157,Olga,Shut,Belarus,BLR-A,"1,022",115,58,120,52,92,114,0,44,427,0,716,
,,158,Jiyun,Ma,China,CHN-C,"1,009",146,58,193,64,148,105,55,0,240,0,473,122
,,159,Boglar,Major,Hungary,HUN-B,997,208,77,119,20,57,25,52,160,279,0,98,97
,,160,Viliam,Balko,Slovakia,SVK-C,994,181,146,268,48,0,91,45,126,89,0,394,194
,84,161,Szilvia,Nagy,Hungary,HUN-A,991,53,77,124,80,84,130,49,102,292,0,280,
,,162,Antonis,Lalatsas,Greece,GRC-A,971,105,77,199,48,56,60,49,102,275,0,111,125
,,163,Katalin,Stolmar,Hungary,UN-O1,961,152,58,67,56,140,57,75,102,254,0,190,114
,85,164,Alesia,Andreyuk,Belarus,BLR-A,949,40,53,188,52,57,57,31,102,269,100,110,
,86,165,Richard,Stolk,Netherlands,NLD-A,946,67,68,131,12,67,91,88,64,258,100,138,
,,166,Tauri,Purk,Estonia,EST-B,946,33,136,169,124,36,90,92,160,106,0,0,260
,,167,Markus,Schindler,Germany,DEU-C,926,35,77,121,72,21,91,93,102,314,0,0,149
,87,168,Sergei,Biriukov,Russia,RUS-A,921,26,110,155,28,57,97,78,102,268,0,169,
,,169,Loraine,Mignot,France,FRA-B,918,150,83,178,48,48,77,77,68,189,0,283,131
,,170,Yishan,Liang,China,CHN-C,915,153,136,124,20,36,111,28,126,181,0,86,156
,,171,Fanni,Pipé,Hungary,HUN-B,910,104,108,181,44,21,79,55,136,182,0,93,152
,88,172,Kristéf,Szabd,Hungary,HUN-A,910,147,106,229,48,56,60,28,54,182,0,93,
,89,173,Ivan,Laptiev,Russia,RUS-A,907,152,49,147,92,35,62,51,102,217,0,198,
,,174,René,Gilhuijs,Netherlands,NLD-B,905,65,84,212,56,32,0,65,160,231,0,0,140
,,175,Lucia,Ondovéikovd,Slovakia,SVK-C,901,129,61,233,80,36,37,51,136,138,0,257,141
,,176,Sude,Temiz,Turkey,TUR-B,893,117,87,224,88,105,136,28,44,64,0,235,175
,90,177,Diana,Grigoreva,Russia,RUS-A,891,95,153,125,44,56,102,97,10,209,0,286,
,91,178,Jouni,Sarkijarvi,Finland,FIN-A,878,125,77,135,44,21,105,77,102,192,0,77,
,,179,Soji,Kubota,Japan,UN-03,864,104,77,137,40,21,90,38,68,289,0,0,117
,,180,Liane,Robinson,United Kingdom,GBR-B,840,70,28,135,76,56,103,15,126,231,0,283,
,,181,Xin,Zheng,China,CHN-E,835,73,107,52,92,21,111,56,78,245,0,0,199
,,182,Danielle,Hoja,Germany,DEU-C,819,114,56,63,76,67,63,35,102,243,0,193,132
,,183,Eline,Werkman,Netherlands,UN-06,809,122,77,96,8,71,53,49,102,231,0,86,85
,,184,Margarita,Tsvetkova,Bulgaria,BGR-B,794,86,77,199,68,0,28,58,136,142,0,173,145
,92,185,Maria,Angeloudi,Greece,GRC-A,789,65,106,38,4,21,130,93,126,206,0,77,110
,,186,Galya,Titova,Bulgaria,BGR-B,758,62,49,106,40,56,77,28,102,238,0,170,89
,,187,Paolo,Tivano,Italy,ITA-C,747,64,83,155,80,53,28,61,34,189,0,86,163
,,188,Nick,Baxter,USA,UN-04,672,89,77,156,24,57,32,0,92,145,0,0,101
,93,189,Alexey,Laptiev,Russia,RUS-A,670,81,49,120,100,0,34,15,126,145,0,187,
,,190,Diana,Paskhina,Russia,UN-02,669,88,30,135,44,92,91,34,44,111,0,414,74
,,191,Tomasz,Stanezak,Poland,POL-B,666,143,77,89,52,0,0,0,40,265,0,305,129
,,192,Jaroslav,Grajciar,Slovakia,SVK-C,666,113,53,38,4,92,26,59,68,213,0,110,57
,,193,Claudio,Toffon,Italy,ITA-C,645,86,49,127,76,0,63,34,68,142,0,0,125
,94,194,Markus,Roth,Switzerland,CHE-A,629,79,56,60,84,69,26,34,68,53,100,0,240
,,195,Thomas,Powell,United Kingdom,GBR-B,628,62,49,127,52,57,51,51,34,145,0,0,
,,196,Rdbert,Steiner,Hungary,UN-O1,627,82,49,121,8,21,58,50,102,136,0,0,57
,,197,Giulio,Alberti,Italy,ITA-C,601,38,77,82,28,21,25,50,102,178,0,0,105
,,198,Ekaterina,Nuzhdina,Russia,UN-02,568,65,26,169,16,0,54,38,68,132,0,93,42
,95,199,Ales,Zaloznik,Slovenia,UN-06,545,112,49,103,16,0,32,34,10,189,0,86,
,96,200,Sungyun,Lee,Korea,KOR-A,524,55,51,166,44,0,28,28,102,50,0,0,
,,201,Evgenii,Bekishev,Russia,UN-02,507,105,0,23,16,21,37,34,68,203,0,0,16
,97,202,Dajin,Yoo,Korea,KOR-A,483,96,49,0,92,35,60,49,102,0,0,0,
,98,203,Lyuben,Stoychev,Bulgaria,BGR-A,475,96,26,61,16,0,28,28,126,94,0,0,
,99,204,Heungchul,Park,Korea,KOR-A,469,80,26,100,28,21,0,34,44,136,0,86,
,100,205,Kanstantsin,Mikhalev,Belarus,BLR-A,402,32,26,82,40,0,37,0,34,151,0,98,66
,,206,Larissa,Rudolph,Germany,DEU-C,358,30,26,91,52,0,26,15,68,50,0,0,73
,101,207,Esther,Naef,Switzerland,CHE-A,349,33,26,52,24,0,54,34,10,116,0,77,
,,208,Yan,Xu,China,ICHN-E,336,97,49,120,8,21,28,13,0,0,0,0,57
,,209,Hanur,Kim,Korea,KOR-B,314,29,0,82,20,92,0,13,78,0,0,92,20
,,210,Anton,Titov,Bulgaria,BGR-B,303,64,0,120,20,0,0,13,0,86,0,206,20
,,211,Jeongmo,Seo,Korea,KOR-B,124,17,0,15,0,92,0,0,0,0,0,92,0
,,212,Muhammed Enes,Erol,Turkey,TUR-B,55,12,0,0,4,0,0,0,0,39,0,0,4
,,213,Yunha,Jang,Korea,KOR-B,0,0,0,0,0,0,0,0,0,0,0,0,0
