Rank,Off. rank,Play-off,Name,Country,Team,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 8,Round 9,Total
122,---,,Beri Kohen,Turkey,TUR-B,160,20,235,0,320,115,190,50,1090
123,---,,Pavel Kalhous,Czech Republic,CZE-C,100,115,170,114,195,150,90,100,1034
124,79,,Serkan Yürekli,Turkey,TUR-A,125,80,270,0,190,130,230,0,1025
125,---,,Lars Slofstra,Netherlands,NED-B,110,135,210,50,235,110,105,50,1005
126,---,,Blanka Lehotská,Slovakia,SVK-C,95,135,115,82,210,85,215,50,987
127,80,,Ragnar Kruberg,Estonia,EST-A,195,110,160,60,135,95,175,50,980
133,81,,Marko Obradović,Serbia,SRB-A,75,140,165,0,125,180,235,50,970
128,---,,René Gilhuijs,Netherlands,NED-B,70,135,145,96,190,160,105,50,951
129,82,,Gianluca Mancuso,Italy,ITA-A,150,70,150,0,275,60,245,0,950
130,---,,Aziz Ateş,Turkey,UN-06,95,165,75,114,160,170,155,0,934
131,---,,Mehmet Durmuş,Turkey,UN-06,85,65,55,98,235,165,175,50,928
132,83,,Olga Shut,Belarus,UN-03,50,130,220,0,265,150,60,50,925
134,---,,Tomasz Stańczak,Poland,POL-B,35,100,100,0,250,115,200,120,920
135,---,,Valeria Losasso,Italy,ITA-B,125,100,200,28,205,105,155,0,918
136,84,,Villem Mesila,Estonia,EST-A,120,190,65,0,185,60,175,120,915
137,---,,Pierdante Lanzavecchia,Italy,ITA-C,70,145,215,46,155,115,165,0,911
138,85,,Christof Bruetsch,Switzerland,SUI-A,95,155,80,80,225,135,130,0,900
139,---,,Puneet Goenka,India,IND-B,140,110,100,50,170,135,145,50,900
140,---,,Yuk Yee Lee-Au,Netherlands,NED-B,135,150,195,66,200,85,60,0,891
141,86,,Thomas Dimopoulos,Greece,GRE-A,100,170,135,0,215,95,170,0,885
142,87,,Jouni Särkijärvi,Finland,UN-02,95,155,40,0,210,155,225,0,880
143,---,,Olivier Garçonnet,France,FRA-B,95,75,150,0,180,210,110,50,870
144,---,,Emmanuel Puissant,France,UN-04,110,40,85,110,245,140,115,0,845
145,88,,Markus Roth,Switzerland,SUI-A,90,70,185,58,150,110,165,0,828
146,---,,Jérome Lacoste,France,FRA-B,100,70,90,70,125,170,190,0,815
147,89,,Radoslav Botshev,Bulgaria,BUL-A,110,150,95,42,275,100,30,0,802
148,90,,Sergei Biriukov,Russia,RUS-A,100,155,80,0,180,160,125,0,800
149,---,,Kristel Arnik,Estonia,EST-B,60,130,120,84,160,125,120,0,799
150,91,,Georgi Georgiev,Bulgaria,BUL-A,75,130,180,0,135,120,95,50,785
151,---,,Ján Farkaš,Slovakia,SVK-C,100,65,90,0,70,70,255,135,785
152,---,,Allar Padari,Estonia,EST-B,15,130,70,72,140,120,170,50,767
153,92,,Carolyn Duke,Canada,UN-01,50,80,110,150,140,125,55,50,760
154,---,,Nick Baxter,USA,UN-01,70,85,115,52,195,135,90,0,742
155,93,,Iliana Gounalaki,Greece,GRE-A,75,170,90,0,165,90,90,50,730
156,94,,Marek Kolk,Estonia,EST-A,65,90,25,0,160,190,190,0,720
157,95,,Ivan Laptiev,Russia,RUS-A,15,150,70,118,155,100,105,0,713
158,---,,Gareth Moore,UK,GBR-B,80,40,110,0,125,120,175,50,700
159,---,,Liane Robinson,UK,GBR-B,15,110,110,48,155,125,100,0,663
160,---,,Sude Temiz,Turkey,TUR-B,75,20,30,158,140,95,130,0,648
161,---,,Külli Laks Vahemäe,Estonia,EST-B,75,150,50,28,135,65,135,0,638
162,---,,Martin Fundárek,Slovakia,SVK-C,130,120,40,72,70,50,100,50,632
163,---,,Paolo Tivano,Italy,ITA-C,45,105,50,0,145,110,175,0,630
164,96,,Helen Arnold,Australia,UN-05,70,110,80,72,95,100,95,0,622
165,97,,Antonis Lalatsas,Greece,GRE-A,95,90,80,34,90,100,60,50,599
166,---,,Baran Kırdar,Turkey,TUR-B,50,60,85,140,50,85,105,0,575
167,---,,Viliam Balko,Slovakia,SVK-B,125,135,30,0,135,65,75,0,565
168,---,,Sara Martin,Italy,ITA-C,115,120,80,68,85,25,30,0,523
169,---,,Maria Angeloudi,Greece,UN-04,120,150,0,0,50,130,70,0,520
170,---,,Hugo Van Rooijen,Netherlands,NED-B,50,80,70,38,105,65,90,0,498
171,---,,Alan O'Donnell,UK,GBR-B,75,40,40,72,80,65,100,0,472
172,---,,Yu-Jae Kim,Korea,KOR-B,65,125,70,0,130,50,30,0,470
173,---,,Da-Jin Yoo,Korea,KOR-B,75,25,30,42,155,60,65,0,452
174,---,,Parisis Ovelidis,Greece,UN-04,50,60,40,30,105,65,90,0,440
175,---,,Hazal Deniz Zenger,Turkey,TUR-B,40,60,45,30,105,20,35,100,435
176,---,,Diana Paskhina,Russia,UN-03,50,90,70,46,90,85,0,0,431
177,---,,Esther Naef,Switzerland,UN-06,45,40,40,50,125,35,85,0,420
178,98,,Michael Lee,Korea,KOR-A,50,80,70,46,70,15,85,0,416
179,---,,Yudum Özer,Turkey,UN-06,50,55,30,54,25,65,65,0,344
180,---,,Alexey Laptiev,Russia,UN-03,60,40,75,0,130,0,35,0,340
181,---,,Heung-Chul(John) Park,Korea,UN-09,35,20,65,0,30,0,35,50,235
182,99,,Yun_Ju Song,Korea,KOR-A,50,20,30,52,25,40,0,0,217
183,100,,Ji-Won Seo,Korea,KOR-A,30,20,0,18,85,50,0,0,203
184,---,,Jin-Kyo You,Korea,KOR-B,30,45,0,0,25,35,0,0,135
185,---,,Hae-Kang Park,Korea,KOR-B,0,20,30,0,0,35,30,0,115
186,---,,Hae-Min Park,Korea,UN-05,30,0,25,0,0,15,0,0,70
